datetime,open,high,low,close,atr,upperband,lowerband,signals,SMA_5,SMA_7,SMA_21,5_21_SMA_Trend
2025-04-16 09:29,23335.85,23337.15,23328.35,23334.2,12.031168252295643,23368.84350475689,23296.656495243114,0,,,,
2025-04-16 09:30,23333.5,23338.05,23329.95,23331.8,11.612675756569228,23368.838027269707,23299.161972730293,0,,,,
2025-04-16 09:31,23330.8,23334.95,23327.7,23332.4,11.163963903071194,23364.81689170921,23299.161972730293,0,,,,
2025-04-16 09:32,23333.45,23337.25,23330.05,23337.25,10.768681829757949,23364.81689170921,23301.34395451073,0,,,,
2025-04-16 09:33,23336.45,23340.25,23331.7,23337.1,10.553524221306494,23364.81689170921,23304.31442733608,0,23334.55,,,
2025-04-16 09:34,23336.95,23338.6,23330.65,23336.55,10.30733570076956,23364.81689170921,23304.31442733608,0,23335.02,,,
2025-04-16 09:35,23335.8,23337.25,23332.05,23333.8,9.835306056296686,23364.15591816889,23305.144081831117,0,23335.420000000002,23334.72857142857,,
2025-04-16 09:36,23334.1,23337.45,23326.65,23336.65,9.92263164444486,23361.817894933338,23305.144081831117,0,23336.27,23335.07857142857,,
2025-04-16 09:37,23337.65,23341.2,23334.45,23340.75,9.64082072890658,23361.817894933338,23308.90253781328,0,23336.97,23336.35714285714,,
2025-04-16 09:38,23340.25,23356.5,23340.05,23354.2,10.23530786549864,23361.817894933338,23317.569076403503,0,23340.39,23339.471428571433,,
2025-04-16 09:39,23356.2,23357.45,23345.75,23346.45,10.361186615686025,23361.817894933338,23320.51644015294,0,23342.370000000003,23340.785714285714,,
2025-04-16 09:40,23344.9,23348.45,23337.25,23340.2,10.432244712649752,23361.817894933338,23320.51644015294,0,23343.65,23341.22857142857,,
2025-04-16 09:41,23339.5,23342.9,23337.4,23339.7,10.019898868551603,23361.817894933338,23320.51644015294,0,23344.260000000002,23341.678571428572,,
2025-04-16 09:42,23338.55,23357.2,23338.45,23357.2,10.740975332778874,23361.817894933338,23320.51644015294,0,23347.55,23345.02142857143,,
2025-04-16 09:43,23356.1,23359.65,23353.3,23356.8,10.382301475056272,23361.817894933338,23325.32809557483,0,23348.07,23347.899999999998,,
2025-04-16 09:44,23354.65,23358.0,23353.05,23357.7,9.943072221071295,23361.817894933338,23325.69578333679,0,23350.32,23350.321428571428,,
2025-04-16 09:45,23357.2,23364.45,23355.55,23361.35,9.85952210430999,23361.817894933338,23330.421433687072,0,23354.55,23351.342857142856,,
2025-04-16 09:46,23359.6,23361.7,23356.5,23359.25,9.48950284830933,23361.817894933338,23330.63149145507,0,23358.46,23353.17142857143,,
2025-04-16 09:47,23358.5,23360.65,23353.4,23354.3,9.31306919496107,23361.817894933338,23330.63149145507,0,23357.879999999997,23355.18571428571,,
2025-04-16 09:48,23354.3,23356.65,23345.35,23348.35,9.468461841209546,23361.817894933338,23330.63149145507,0,23356.19,23356.421428571426,,
2025-04-16 09:49,23347.7,23351.55,23343.7,23346.65,9.342738440543869,23361.817894933338,23330.63149145507,0,23353.98,23354.914285714283,23344.888095238097,UP
2025-04-16 09:50,23345.85,23348.75,23343.3,23347.25,9.0422262969399,23361.817894933338,23330.63149145507,0,23351.159999999996,23353.549999999996,23345.509523809524,UP
2025-04-16 09:51,23346.35,23354.55,23345.1,23352.75,9.073525085575932,23361.817894933338,23330.63149145507,0,23349.859999999997,23352.842857142856,23346.507142857143,UP
2025-04-16 09:52,23352.7,23353.35,23347.35,23352.8,8.838865741963794,23361.817894933338,23330.63149145507,0,23349.56,23351.62142857143,23347.47857142857,UP
2025-04-16 09:53,23352.9,23357.55,23352.15,23355.7,8.577598592342017,23361.817894933338,23330.63149145507,0,23351.03,23351.114285714284,23348.35714285714,UP
2025-04-16 09:54,23356.8,23361.35,23356.8,23358.75,8.356181477667269,23361.817894933338,23334.006455567,0,23353.45,23351.75,23349.388095238097,UP
2025-04-16 09:55,23357.35,23359.05,23351.9,23353.5,8.26533856317689,23361.817894933338,23334.006455567,0,23354.7,23352.485714285714,23350.19523809524,UP
2025-04-16 09:56,23352.5,23353.85,23349.1,23353.2,8.001607545791662,23361.817894933338,23334.006455567,0,23354.79,23353.42142857143,23351.119047619046,UP
2025-04-16 09:57,23353.0,23368.05,23352.85,23367.55,8.539717912313176,23361.817894933338,23334.83084626306,1,23357.74,23356.321428571428,23352.59047619048,UP
2025-04-16 09:58,23367.7,23372.5,23363.0,23363.0,8.611265128793343,23393.58379538638,23341.91620461362,1,23359.2,23357.785714285714,23353.65,UP
2025-04-16 09:59,23363.0,23363.1,23352.65,23357.9,8.747842380974975,23384.118527142924,23341.91620461362,1,23359.03,23358.514285714282,23353.82619047619,UP
2025-04-16 10:00,23357.5,23361.9,23355.95,23360.35,8.540615141674765,23384.118527142924,23341.91620461362,1,23360.4,23359.178571428572,23354.488095238095,UP
2025-04-16 10:01,23359.95,23361.55,23352.0,23360.7,8.615180330505767,23382.62054099152,23341.91620461362,1,23361.9,23359.457142857143,23355.464285714286,UP
2025-04-16 10:02,23360.85,23368.1,23360.8,23365.8,8.52563143518149,23382.62054099152,23341.91620461362,1,23361.55,23361.214285714286,23356.707142857143,UP
2025-04-16 10:03,23365.8,23368.9,23363.45,23364.8,8.299494255870163,23382.62054099152,23341.91620461362,1,23361.91,23362.87142857143,23357.069047619047,UP
2025-04-16 10:04,23364.35,23367.8,23362.55,23367.05,8.075747992687056,23382.62054099152,23341.91620461362,1,23363.739999999998,23362.8,23357.557142857142,UP
2025-04-16 10:05,23366.6,23370.35,23359.95,23362.65,8.245951364498815,23382.62054099152,23341.91620461362,1,23364.2,23362.75,23357.792857142857,UP
2025-04-16 10:06,23362.25,23367.3,23358.55,23358.55,8.282796150666519,23382.62054099152,23341.91620461362,1,23363.769999999997,23362.842857142856,23357.659523809525,UP
