datetime,open,high,low,close,volume
2025-07-16T13:25:00+05:30,25210.05,25210.7,25207.4,25208.1,0
2025-07-16T13:26:00+05:30,25207.95,25209.0,25204.5,25206.8,0
2025-07-16T13:27:00+05:30,25206.05,25209.5,25205.7,25208.4,0
2025-07-16T13:28:00+05:30,25208.2,25209.25,25204.45,25205.9,0
2025-07-16T13:29:00+05:30,25205.35,25207.6,25203.0,25206.6,0
2025-07-16T13:30:00+05:30,25206.1,25208.55,25204.4,25204.75,0
2025-07-16T13:31:00+05:30,25204.7,25206.25,25200.65,25201.0,0
2025-07-16T13:32:00+05:30,25200.7,25202.75,25197.8,25199.1,0
2025-07-16T13:33:00+05:30,25198.65,25200.0,25197.9,25198.25,0
2025-07-16T13:34:00+05:30,25198.35,25198.85,25193.45,25194.3,0
2025-07-16T13:35:00+05:30,25194.05,25194.65,25186.0,25187.55,0
2025-07-16T13:36:00+05:30,25187.5,25197.1,25187.5,25196.75,0
2025-07-16T13:37:00+05:30,25196.6,25204.6,25196.6,25204.3,0
2025-07-16T13:38:00+05:30,25203.9,25205.1,25202.4,25204.25,0
2025-07-16T13:39:00+05:30,25203.9,25207.15,25203.2,25206.85,0
2025-07-16T13:40:00+05:30,25207.05,25211.7,25206.75,25210.35,0
2025-07-16T13:41:00+05:30,25210.45,25212.6,25209.15,25211.95,0
2025-07-16T13:42:00+05:30,25211.6,25218.45,25211.6,25215.75,0
2025-07-16T13:43:00+05:30,25215.5,25215.6,25212.75,25214.2,0
2025-07-16T13:44:00+05:30,25213.6,25217.25,25213.3,25214.55,0
2025-07-16T13:45:00+05:30,25213.8,25215.15,25212.6,25214.05,0
2025-07-16T13:46:00+05:30,25213.3,25214.9,25212.15,25213.0,0
2025-07-16T13:47:00+05:30,25213.3,25214.0,25210.15,25213.0,0
2025-07-16T13:48:00+05:30,25213.15,25215.65,25213.1,25214.45,0
2025-07-16T13:49:00+05:30,25214.5,25218.2,25213.55,25218.15,0
2025-07-16T13:50:00+05:30,25217.35,25224.85,25217.35,25224.2,0
2025-07-16T13:51:00+05:30,25223.55,25231.3,25223.55,25229.1,0
2025-07-16T13:52:00+05:30,25229.2,25230.15,25224.3,25225.05,0
2025-07-16T13:53:00+05:30,25224.95,25227.55,25221.25,25221.35,0
2025-07-16T13:54:00+05:30,25221.1,25222.8,25212.2,25214.0,0
2025-07-16T13:55:00+05:30,25213.3,25217.7,25213.1,25216.45,0
2025-07-16T13:56:00+05:30,25216.1,25219.5,25215.8,25217.2,0
2025-07-16T13:57:00+05:30,25217.6,25220.05,25216.2,25218.7,0
2025-07-16T13:58:00+05:30,25219.1,25223.6,25218.45,25221.45,0
2025-07-16T13:59:00+05:30,25220.8,25222.45,25216.35,25217.5,0
2025-07-16T14:00:00+05:30,25217.4,25222.2,25216.3,25220.85,0
2025-07-16T14:01:00+05:30,25220.45,25225.65,25220.4,25225.2,0
