,0,1,2,3,4,5
67,2024-07-10T13:15:00+05:30,24278.85,24289.05,24212.1,24238.25,0
68,2024-07-10T14:15:00+05:30,24237.95,24336.75,24226.65,24330.85,0
69,2024-07-10T15:15:00+05:30,24331.25,24337.15,24310.9,24312.4,0
70,2024-07-11T09:15:00+05:30,24396.55,24402.65,24274.3,24286.1,0
71,2024-07-11T10:15:00+05:30,24286.05,24288.95,24234.7,24256.2,0
72,2024-07-11T11:15:00+05:30,24256.5,24283.4,24194.5,24264.2,0
73,2024-07-11T12:15:00+05:30,24264.25,24307.8,24259.85,24298.05,0
74,2024-07-11T13:15:00+05:30,24297.35,24327.3,24278.3,24306.8,0
75,2024-07-11T14:15:00+05:30,24306.1,24332.45,24291.45,24328.65,0
76,2024-07-11T15:15:00+05:30,24329.0,24357.0,24318.55,24338.5,0
77,2024-07-12T09:15:00+05:30,24387.95,24440.4,24332.5,24362.9,0
78,2024-07-12T10:15:00+05:30,24362.6,24591.95,24357.15,24538.25,0
79,2024-07-12T11:15:00+05:30,24537.65,24539.35,24473.3,24516.4,0
80,2024-07-12T12:15:00+05:30,24517.8,24523.45,24478.25,24518.5,0
81,2024-07-12T13:15:00+05:30,24518.45,24579.8,24514.05,24574.65,0
82,2024-07-12T14:15:00+05:30,24573.9,24581.05,24490.05,24491.15,0
83,2024-07-12T15:15:00+05:30,24490.0,24516.5,24485.6,24512.4,0
84,2024-07-15T09:15:00+05:30,24587.6,24598.0,24523.7,24562.0,0
85,2024-07-15T10:15:00+05:30,24562.15,24602.55,24545.7,24581.0,0
86,2024-07-15T11:15:00+05:30,24581.75,24611.65,24547.55,24598.9,0
87,2024-07-15T12:15:00+05:30,24599.2,24619.6,24576.1,24614.8,0
88,2024-07-15T13:15:00+05:30,24615.7,24634.85,24589.8,24594.45,0
89,2024-07-15T14:15:00+05:30,24594.35,24619.15,24577.7,24584.5,0
90,2024-07-15T15:15:00+05:30,24583.4,24588.6,24577.95,24588.35,0
91,2024-07-16T09:15:00+05:30,24615.9,24650.05,24599.75,24634.4,0
92,2024-07-16T10:15:00+05:30,24635.35,24661.05,24628.75,24654.05,0
93,2024-07-16T11:15:00+05:30,24654.4,24660.8,24631.6,24640.5,0
94,2024-07-16T12:15:00+05:30,24640.9,24656.65,24620.3,24652.9,0
95,2024-07-16T13:15:00+05:30,24652.0,24654.9,24603.45,24625.1,0
96,2024-07-16T14:15:00+05:30,24625.15,24648.0,24588.3,24604.3,0
97,2024-07-16T15:15:00+05:30,24603.6,24616.2,24593.9,24601.1,0
98,2024-07-18T09:15:00+05:30,24543.8,24678.35,24515.8,24655.5,0
99,2024-07-18T10:15:00+05:30,24654.05,24658.1,24531.5,24537.35,0
100,2024-07-18T11:15:00+05:30,24538.55,24612.1,24505.25,24607.8,0
101,2024-07-18T12:15:00+05:30,24607.0,24714.45,24599.75,24711.6,0
102,2024-07-18T13:15:00+05:30,24716.3,24827.7,24697.9,24819.9,0
103,2024-07-18T14:15:00+05:30,24820.4,24837.5,24774.2,24801.7,0
104,2024-07-18T15:15:00+05:30,24802.05,24810.4,24775.95,24779.35,0
105,2024-07-19T09:15:00+05:30,24853.8,24854.8,24684.2,24685.85,0
106,2024-07-19T10:15:00+05:30,24684.95,24725.7,24644.3,24668.7,0
107,2024-07-19T11:15:00+05:30,24652.9,24675.25,24621.85,24661.75,0
108,2024-07-19T12:15:00+05:30,24661.65,24667.6,24596.45,24612.8,0
109,2024-07-19T13:15:00+05:30,24611.35,24646.15,24554.35,24570.65,0
110,2024-07-19T14:15:00+05:30,24570.25,24588.7,24520.0,24530.4,0
111,2024-07-19T15:15:00+05:30,24531.85,24539.65,24509.25,24525.85,0
112,2024-07-22T09:15:00+05:30,24445.75,24558.0,24363.85,24556.0,0
113,2024-07-22T10:15:00+05:30,24555.65,24594.4,24531.1,24532.05,0
114,2024-07-22T11:15:00+05:30,24531.4,24554.9,24507.35,24522.95,0
115,2024-07-22T12:15:00+05:30,24523.15,24527.9,24465.55,24487.8,0
116,2024-07-22T13:15:00+05:30,24487.3,24541.65,24487.3,24498.25,0
117,2024-07-22T14:15:00+05:30,24498.15,24521.75,24480.8,24515.7,0
118,2024-07-22T15:15:00+05:30,24516.25,24520.95,24504.7,24515.9,0
119,2024-07-23T09:15:00+05:30,24568.9,24582.55,24445.95,24449.15,0
