datetime,open,high,low,close,volume
2025-06-19T13:25:00+05:30,24788.2,24793.5,24787.75,24792.0,0
2025-06-19T13:26:00+05:30,24792.65,24793.9,24785.0,24786.35,0
2025-06-19T13:27:00+05:30,24786.2,24789.9,24784.35,24785.05,0
2025-06-19T13:28:00+05:30,24785.25,24788.7,24784.9,24785.95,0
2025-06-19T13:29:00+05:30,24786.4,24786.5,24783.15,24785.05,0
2025-06-19T13:30:00+05:30,24785.25,24786.2,24780.55,24782.25,0
2025-06-19T13:31:00+05:30,24782.05,24788.9,24780.65,24787.1,0
2025-06-19T13:32:00+05:30,24788.1,24789.8,24780.9,24786.0,0
2025-06-19T13:33:00+05:30,24786.1,24797.0,24785.5,24795.8,0
2025-06-19T13:34:00+05:30,24796.1,24796.25,24788.6,24789.95,0
2025-06-19T13:35:00+05:30,24790.75,24794.3,24789.45,24790.15,0
2025-06-19T13:36:00+05:30,24790.45,24791.8,24788.2,24789.65,0
2025-06-19T13:37:00+05:30,24789.9,24790.8,24781.35,24785.85,0
2025-06-19T13:38:00+05:30,24786.35,24788.95,24784.5,24786.8,0
2025-06-19T13:39:00+05:30,24785.95,24797.55,24785.95,24795.6,0
2025-06-19T13:40:00+05:30,24796.0,24801.85,24795.35,24800.7,0
2025-06-19T13:41:00+05:30,24800.15,24800.6,24795.4,24796.75,0
2025-06-19T13:42:00+05:30,24796.95,24798.9,24795.3,24795.3,0
2025-06-19T13:43:00+05:30,24795.65,24796.55,24790.45,24791.05,0
2025-06-19T13:44:00+05:30,24790.7,24791.65,24785.65,24789.2,0
2025-06-19T13:45:00+05:30,24789.0,24791.1,24787.2,24787.4,0
2025-06-19T13:46:00+05:30,24789.2,24791.7,24786.7,24788.9,0
2025-06-19T13:47:00+05:30,24789.55,24791.15,24788.2,24789.75,0
2025-06-19T13:48:00+05:30,24789.35,24794.45,24788.8,24792.55,0
2025-06-19T13:49:00+05:30,24792.8,24794.85,24790.6,24791.35,0
2025-06-19T13:50:00+05:30,24791.2,24793.3,24789.25,24792.15,0
2025-06-19T13:51:00+05:30,24791.7,24796.85,24791.25,24794.75,0
2025-06-19T13:52:00+05:30,24795.8,24798.3,24794.4,24795.2,0
2025-06-19T13:53:00+05:30,24795.0,24798.95,24793.3,24795.9,0
2025-06-19T13:54:00+05:30,24796.35,24801.65,24796.35,24799.0,0
2025-06-19T13:55:00+05:30,24799.25,24800.15,24796.2,24797.4,0
2025-06-19T13:56:00+05:30,24798.1,24799.25,24792.75,24793.05,0
2025-06-19T13:57:00+05:30,24793.45,24795.15,24792.35,24793.5,0
2025-06-19T13:58:00+05:30,24794.15,24797.05,24792.45,24796.7,0
2025-06-19T13:59:00+05:30,24797.6,24811.65,24797.6,24811.3,0
2025-06-19T14:00:00+05:30,24811.8,24829.75,24811.8,24828.95,0
2025-06-19T14:01:00+05:30,24829.55,24836.4,24819.95,24821.65,0
2025-06-19T14:02:00+05:30,24821.05,24824.8,24815.2,24815.25,0
2025-06-19T14:03:00+05:30,24815.35,24819.45,24811.55,24818.05,0
2025-06-19T14:04:00+05:30,24819.6,24828.35,24818.95,24827.3,0
2025-06-19T14:05:00+05:30,24827.15,24836.9,24825.6,24832.05,0
2025-06-19T14:06:00+05:30,24831.55,24839.7,24826.9,24839.7,0
2025-06-19T14:07:00+05:30,24839.2,24842.0,24834.4,24836.75,0
2025-06-19T14:08:00+05:30,24836.8,24837.8,24831.25,24836.55,0
2025-06-19T14:09:00+05:30,24837.25,24838.65,24830.7,24831.7,0
2025-06-19T14:10:00+05:30,24832.25,24836.0,24831.9,24833.8,0
2025-06-19T14:11:00+05:30,24834.65,24834.65,24825.3,24828.15,0
2025-06-19T14:12:00+05:30,24828.1,24830.05,24825.25,24826.2,0
2025-06-19T14:13:00+05:30,24826.55,24829.1,24824.35,24827.4,0
2025-06-19T14:14:00+05:30,24826.6,24834.75,24826.0,24832.4,0
2025-06-19T14:15:00+05:30,24833.3,24835.95,24830.3,24831.55,0
2025-06-19T14:16:00+05:30,24831.4,24834.65,24830.8,24833.3,0
2025-06-19T14:17:00+05:30,24833.9,24837.8,24829.9,24836.1,0
2025-06-19T14:18:00+05:30,24835.55,24840.65,24831.35,24840.2,0
2025-06-19T14:19:00+05:30,24839.6,24841.65,24833.9,24837.05,0
2025-06-19T14:20:00+05:30,24836.55,24837.9,24834.5,24836.85,0
2025-06-19T14:21:00+05:30,24836.6,24849.85,24836.1,24849.85,0
2025-06-19T14:22:00+05:30,24848.55,24849.0,24840.1,24841.8,0
2025-06-19T14:23:00+05:30,24840.8,24842.4,24834.75,24836.55,0
2025-06-19T14:24:00+05:30,24835.8,24839.75,24830.15,24830.2,0
2025-06-19T14:25:00+05:30,24830.25,24832.55,24825.9,24827.1,0
2025-06-19T14:26:00+05:30,24826.0,24826.35,24817.85,24818.45,0
2025-06-19T14:27:00+05:30,24817.75,24818.55,24812.55,24817.5,0
2025-06-19T14:28:00+05:30,24816.65,24822.55,24815.75,24817.8,0
2025-06-19T14:29:00+05:30,24816.15,24820.05,24815.75,24817.2,0
2025-06-19T14:30:00+05:30,24816.65,24819.0,24813.35,24817.15,0
2025-06-19T14:31:00+05:30,24816.95,24829.7,24816.95,24828.25,0
2025-06-19T14:32:00+05:30,24827.4,24829.6,24823.7,24824.15,0
2025-06-19T14:33:00+05:30,24823.65,24829.55,24823.65,24826.85,0
2025-06-19T14:34:00+05:30,24826.35,24827.6,24824.45,24825.3,0
2025-06-19T14:35:00+05:30,24825.1,24828.05,24819.1,24821.3,0
2025-06-19T14:36:00+05:30,24821.4,24822.85,24816.4,24818.95,0
2025-06-19T14:37:00+05:30,24818.45,24823.15,24818.1,24821.3,0
2025-06-19T14:38:00+05:30,24820.85,24824.7,24818.5,24823.65,0
2025-06-19T14:39:00+05:30,24822.95,24825.95,24820.05,24822.0,0
2025-06-19T14:40:00+05:30,24822.15,24823.5,24808.65,24810.15,0
2025-06-19T14:41:00+05:30,24805.85,24807.6,24787.75,24790.8,0
2025-06-19T14:42:00+05:30,24791.45,24796.55,24787.85,24790.2,0
2025-06-19T14:43:00+05:30,24789.9,24807.6,24789.9,24799.3,0
2025-06-19T14:44:00+05:30,24799.15,24809.8,24799.05,24804.7,0
2025-06-19T14:45:00+05:30,24804.4,24809.55,24803.95,24806.35,0
2025-06-19T14:46:00+05:30,24805.45,24808.35,24801.6,24805.95,0
2025-06-19T14:47:00+05:30,24806.05,24807.75,24803.25,24805.45,0
2025-06-19T14:48:00+05:30,24805.4,24808.05,24803.9,24806.0,0
2025-06-19T14:49:00+05:30,24805.0,24809.5,24805.0,24806.75,0
2025-06-19T14:50:00+05:30,24806.55,24808.6,24803.8,24805.9,0
2025-06-19T14:51:00+05:30,24805.45,24811.1,24805.25,24807.95,0
2025-06-19T14:52:00+05:30,24807.55,24812.75,24806.7,24810.85,0
2025-06-19T14:53:00+05:30,24809.5,24812.5,24807.35,24812.5,0
2025-06-19T14:54:00+05:30,24812.25,24817.9,24812.25,24812.6,0
2025-06-19T14:55:00+05:30,24811.55,24813.25,24804.55,24806.95,0
2025-06-19T14:56:00+05:30,24805.8,24813.05,24805.8,24812.65,0
2025-06-19T14:57:00+05:30,24812.0,24815.35,24811.1,24812.6,0
2025-06-19T14:58:00+05:30,24811.5,24814.25,24809.15,24812.85,0
2025-06-19T14:59:00+05:30,24811.9,24813.95,24808.65,24810.5,0
2025-06-19T15:00:00+05:30,24810.55,24811.5,24795.3,24796.0,0
2025-06-19T15:01:00+05:30,24795.8,24798.95,24793.0,24793.95,0
2025-06-19T15:02:00+05:30,24793.3,24797.2,24791.1,24795.35,0
2025-06-19T15:03:00+05:30,24793.6,24797.6,24791.8,24794.65,0
2025-06-19T15:04:00+05:30,24793.4,24811.15,24792.75,24807.95,0
2025-06-19T15:05:00+05:30,24805.55,24810.1,24803.85,24805.95,0
2025-06-19T15:06:00+05:30,24805.9,24805.95,24797.15,24797.65,0
2025-06-19T15:07:00+05:30,24797.15,24797.7,24791.75,24794.45,0
2025-06-19T15:08:00+05:30,24794.15,24798.3,24791.6,24793.85,0
2025-06-19T15:09:00+05:30,24794.2,24800.25,24792.25,24799.65,0
2025-06-19T15:10:00+05:30,24799.0,24800.8,24793.35,24797.05,0
2025-06-19T15:11:00+05:30,24795.35,24806.6,24793.1,24797.85,0
2025-06-19T15:12:00+05:30,24797.15,24799.55,24795.5,24797.05,0
2025-06-19T15:13:00+05:30,24795.9,24797.85,24791.95,24794.0,0
